Time x[0] x[1] 
4718.6847320311 -0.8605391522 -0.3154138434 
4724.9679173386 0.8046756107 0.2106300184 
4731.2511026460 0.2560455495 -0.0889059918 
4737.5342879534 -0.0670758791 -0.5122384220 
4743.8174732609 -0.5623911941 -0.2607033300 
4750.1006585683 -0.8863968424 -0.2895655133 
4756.3838438758 0.8570406722 0.1561928577 
4762.6670291832 0.3649733912 -0.0620289584 
4768.9502144906 -0.2766551978 -0.5699789485 
4775.2333997981 0.2137255786 0.1301455275 
4781.5165851055 -0.7009275646 -0.7384033241 
4787.7997704130 0.5417207363 -0.6283921785 
4794.0829557204 -0.6197363849 0.2187166925 
4800.3661410278 -0.0036421927 -0.0882698306 
4806.6493263353 0.5205446425 0.1768149658 
4812.9325116427 -0.4090940471 -0.5245425160 
4819.2156969501 0.2228790466 0.1240358508 
4825.4988822576 -0.6882080554 -0.7340295753 
4831.7820675650 0.5792812100 -0.6161402293 
4838.0652528725 -0.6698704952 0.3142100557 
4844.3484381799 0.7441796568 -0.3090770798 
4850.6316234873 0.3425019744 -0.2883830441 
4856.9148087948 0.7371145184 -0.2050359049 
4863.1979941022 0.1978781798 -0.2906480867 
4869.4811794097 -1.1144150125 0.0714742853 
4875.7643647171 0.0443451576 -0.6602906081 
4882.0475500245 -0.0936398827 -0.0378960124 
4888.3307353320 -0.0731903024 -0.1454030622 
4894.6139206394 -0.9130100030 0.3336724257 
4900.8971059469 0.3333181117 -0.5142215151 
4907.1802912543 -0.6538657295 0.1711241592 
4913.4634765617 -0.8728619188 -0.4209944749 
4919.7466618692 0.9170933189 -0.2179124236 
4926.0298471766 0.4806688542 -0.1940678717 
4932.3130324840 0.0142343211 -0.4340639978 
4938.5962177915 -0.7093608829 -0.1312232322 
4944.8794030989 -0.9684670761 -0.2547406465 
4951.1625884064 0.8607006993 -0.2939208039 
4957.4457737138 0.4613355777 -0.2330556321 
4963.7289590212 0.1450960298 -0.4011046401 
4970.0121443287 -0.6920739501 0.1182540446 
4976.2953296361 -1.0300510437 -0.2356054947 
4982.5785149436 0.6034580894 -0.5001608766 
4988.8617002510 -0.7676428646 -0.4801790935 
4995.1448855584 0.9428447588 0.0151636928 
5001.4280708659 0.4875885575 -0.0915855832 
5007.7112561733 -0.1894278421 -0.4940346316 
5013.9944414807 -0.4786795842 -0.2682753655 
5020.2776267882 -0.8896912794 -0.2391546053 
5026.5608120956 0.7467464281 0.2316071241 
5032.8439974031 0.1177615763 -0.1602499516 
5039.1271827105 0.8001642476 0.0577502560 
5045.4103680179 0.2589566086 -0.1452793260 
5051.6935533254 0.1836441573 -0.4247362183 
5057.9767386328 -0.6829868399 0.1282308958 
5064.2599239403 -1.0248805323 -0.2522815005 
5070.5431092477 0.6141152220 -0.4979238868 
5076.8262945551 -0.5426666389 -0.4307668290 
5083.1094798626 -0.1488686451 -0.1345569548 
5089.3926651700 -0.8314290941 0.2669666843 
5095.6758504774 0.8287881940 -0.2290258256 
5101.9590357849 0.3443351699 -0.2408724733 
5108.2422210923 0.4314128936 -0.3510342566 
5114.5254063998 0.7832378156 -0.1138866815 
5120.8085917072 0.2233114991 -0.2335532762 
5127.0917770146 0.8020651843 0.0358962152 
5133.3749623221 0.2597690735 -0.1537266997 
5139.6581476295 0.2251914401 -0.4128111927 
5145.9413329370 -0.7105165704 0.2442621851 
5152.2245182444 0.6385478068 0.2103699121 
5158.5077035518 -0.1418171943 -0.3378176595 
5164.7908888593 -0.7802326709 -0.1261289523 
5171.0740741667 -0.7962385116 -0.4063313749 
5177.3572594741 0.8351332447 0.2021217418 
5183.6404447816 0.3177420939 -0.0625071360 
5189.9236300890 -0.2494249609 -0.5725005654 
5196.2068153965 0.1545481940 0.0949137410 
5202.4900007039 -0.5625786706 -0.7252761596 
5208.7731860113 0.8059488752 -0.5092967970 
5215.0563713188 0.3159383467 0.0814356257 
5221.3395566262 -0.5843594908 -0.6836634278 
5227.6227419337 0.8851994456 -0.4109709720 
5233.9059272411 0.7215508408 -0.1168452623 
5240.1891125485 0.1258888458 -0.2839290766 
5246.4722978560 -0.8919996861 0.3676276098 
5252.7554831634 0.2368968794 -0.5397881483 
5259.0386684708 -0.6375749531 -0.0463755675 
5265.3218537783 -1.0090890064 0.0036832316 
