CparY CparX Attractor LE[0] LE[1] LE[2] LE[3] LE[4] LE[5] LE[6] LE[7] xMAX[0] xMAX[1] xMAX[2] xMAX[3] xMAX[4] xMAX[5] xMAX[6] xMAX[7] xMIN[0] xMIN[1] xMIN[2] xMIN[3] xMIN[4] xMIN[5] xMIN[6] xMIN[7] OverallxMAX[0] OverallxMAX[1] OverallxMAX[2] OverallxMAX[3] OverallxMAX[4] OverallxMAX[5] OverallxMAX[6] OverallxMAX[7] OverallxMIN[0] OverallxMIN[1] OverallxMIN[2] OverallxMIN[3] OverallxMIN[4] OverallxMIN[5] OverallxMIN[6] OverallxMIN[7] xMAX[4]_remainder xMIN[4]_remainder OverallxMAX[4]_remainder OverallxMIN[4]_remainder xRMS[0] xRMS[1] xRMS[2] xRMS[3] xRMS[4] xRMS[5] xRMS[6] xRMS[7] OverallxRMS[0] OverallxRMS[1] OverallxRMS[2] OverallxRMS[3] OverallxRMS[4] OverallxRMS[5] OverallxRMS[6] OverallxRMS[7] ddX_MIN ddZ_MIN ddPhi_MIN ddX_MAX ddZ_MAX ddPhi_MAX Xcm_MIN Zcm_MIN dXcm_MIN dZcm_MIN ddXcm_MIN ddZcm_MIN Xcm_MAX Zcm_MAX dXcm_MAX dZcm_MAX ddXcm_MAX ddZcm_MAX OVRLL_ddX_MIN OVRLL_ddZ_MIN OVRLL_ddPhi_MIN OVRLL_ddX_MAX OVRLL_ddZ_MAX OVRLL_ddPhi_MAX OVRLL_Xcm_MIN OVRLL_Zcm_MIN OVRLL_dXcm_MIN OVRLL_dZcm_MIN OVRLL_ddXcm_MIN OVRLL_ddZcm_MIN OVRLL_Xcm_MAX OVRLL_Zcm_MAX OVRLL_dXcm_MAX OVRLL_dZcm_MAX OVRLL_ddXcm_MAX OVRLL_ddZcm_MAX ddX_RMS ddZ_RMS ddPhi_RMS Xcm_RMS Zcm_RMS dXcm_RMS dZcm_RMS ddXcm_RMS ddZcm_RMS OVRLL_ddX_RMS OVRLL_ddZ_RMS OVRLL_ddPhi_RMS OVRLL_Xcm_RMS OVRLL_Zcm_RMS OVRLL_dXcm_RMS OVRLL_dZcm_RMS OVRLL_ddXcm_RMS OVRLL_ddZcm_RMS OVRLL_Xb_RMS OVRLL_Zb_RMS OVRLL_dXb_RMS OVRLL_dZb_RMS OVRLL_ddXb_RMS OVRLL_ddZb_RMS PoutPZ_Avg PoutEM_Avg pos_spin neg_spin OVRLL_pos_spin OVRLL_neg_spin tflip 
0.0100000000 0.0100000000 6 -0.0030826993 -0.0243517200 -0.0254965060 -0.0301964509 -0.0346692122 -0.0416889827 -0.0454514264 -0.0703773060 0.0995277968 0.1235982812 0.0909916165 0.1592357103 0.0066974206 0.0035491325 0.0454776056 0.0002009566 -0.0613867673 -0.1236635363 -0.0909923171 -0.1592362092 0.0025821694 -0.0034948345 -0.0454772527 -0.0002017800 3.3142030364 0.2369570845 0.2496835436 0.2421778306 0.4685988066 0.0832593990 0.1101425475 0.0120910867 -0.0613867673 -0.1300368462 -0.2078597525 -0.3073444064 -0.0084634864 -0.0809313293 -0.1209736277 -0.0343397662 0.0066974206 0.0025821694 0.4685988066 -0.0084634864 0.0230018583 0.0378476245 0.0278604883 0.0487558544 0.0021049788 0.0010783598 0.0139245618 0.0000615943 1.0973893031 0.0877755143 0.0657758413 0.1132081208 0.0455145335 0.0056571717 0.0328713106 0.0023029723 -0.2163132602 -0.2786585444 -0.0061642579 0.2163243251 0.2786671266 0.0061673457 -0.0394170276 0.0000000000 -0.0825448020 -0.1061568071 -0.1443792372 -0.1857757396 0.0679372075 0.4243211767 0.0824853355 0.1061569204 0.1443756943 0.1857733400 -0.2245238580 -0.3940063733 -0.1066593888 0.2166704161 0.3522029386 0.0533471793 -0.0394170276 0.1249877720 -0.0872941391 -0.2050514464 -0.1566206347 -0.2535357987 -0.0394170276 0.1249877720 -0.0872941391 -0.2050514464 -0.1566206347 -0.2535357987 0.1529593430 0.1970444398 0.0043585341 0.0359815933 0.3394823012 0.0583371560 0.0750642470 0.1020900143 0.1313624323 0.1528170852 0.1973419387 0.0063837634 0.7387403444 0.3394939186 0.0586948525 0.0754099207 0.1021404411 0.1314944478 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096947 0.0000000002 2082.0225294920 2101.3725279830 29403.1434919187 30161.0421518387 0.0000000000 
0.0100000000 0.0763333333 1 -0.0152915696 -0.0126752882 -0.0254667951 -0.0243853272 -0.0429153886 -0.0403402850 -0.0438623438 -0.0703773060 0.0707057227 0.1237253781 0.0909930645 0.1592376521 -3.1289051245 0.0035327847 0.0454776365 0.0002002204 -0.0707047051 -0.1237428884 -0.0909923845 -0.1592369203 -3.1329119804 -0.0034791912 -0.0454779806 -0.0002003017 1.3525831008 0.2363465696 0.2511641270 0.2447295448 0.9923272398 0.1368786833 0.1100754578 0.0882787241 -0.4930821971 -0.1724255458 -0.2080869833 -0.3072971436 -3.2210906517 -0.1347215675 -0.1215984635 -0.0594250723 -3.1289051245 -3.1329119804 0.9923272398 3.0620946555 0.0216489627 0.0378856849 0.0278607227 0.0487562647 1.3557233443 0.0010734955 0.0139246790 0.0000613162 0.1412346034 0.0876698755 0.0661004862 0.1138555469 3.0573847862 0.0138685514 0.0330337677 0.0124563283 -0.2165409192 -0.2786693235 -0.0061388204 0.2165284530 0.2786609940 0.0061369054 -0.0507694611 -0.4243059463 -0.0826111195 -0.1061569777 -0.1445725191 -0.1857734135 0.0436465851 0.0000000000 0.0826169547 0.1061567978 0.1445766445 0.1857757503 -0.2344055198 -0.4132438173 -0.1705929521 0.2421020280 0.3947479927 0.1525091076 -0.6447498384 -0.4257811846 -0.1274936004 -0.2050834731 -0.1612419985 -0.2524564218 -0.6447498384 -0.4257811846 -0.1274936004 -0.2050834731 -0.1612419985 -0.2524564218 0.1531131737 0.1970460979 0.0043388608 0.0335705441 0.3394671964 0.0584169501 0.0750642641 0.1022296628 0.1313624622 0.1528055853 0.1984227395 0.0159634785 0.1354993667 0.3343258761 0.0588490636 0.0752951356 0.1023463891 0.1313706593 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096948 0.0000000002 1401860.9208845908 1415956.8467375981 7065989.7378274919 7430706.2649899861 0.0000000000 
0.0100000000 0.1426666667 1 -0.0169186315 -0.0151909352 -0.0245203040 -0.0253495907 -0.0368355201 -0.0413204286 -0.0448015873 -0.0703773061 0.0709174471 0.1240959302 0.0909947842 0.1592408491 3.1665963335 0.0034958196 0.0454785102 0.0001981099 -0.0709163251 -0.1241131905 -0.0909941421 -0.1592398052 3.1626314094 -0.0034427770 -0.0454788375 -0.0001982208 0.8110659956 0.2348169851 0.2548258885 0.3071774724 3.6547137234 0.2244467071 0.1209689604 0.0225513294 -0.4227101902 -0.1816801425 -0.2355071139 -0.3279250196 0.0000000000 -0.1314396994 -0.1230777095 -0.1252877823 -3.1165889737 -3.1205538978 -2.6284715838 0.0000000000 0.0217137737 0.0379991040 0.0278612536 0.0487571939 1.3703180377 0.0010622615 0.0139249443 0.0000606746 0.0769903911 0.0880246740 0.0658422754 0.1135075303 3.1479064701 0.0143840799 0.0329047342 0.0145222903 -0.2171898016 -0.2786744184 -0.0060764487 0.2171760571 0.2786665518 0.0060708147 -0.0550351566 -0.4242372381 -0.0828806170 -0.1061570326 -0.1450438494 -0.1857734906 0.0396888316 0.0000000000 0.0828863555 0.1061567656 0.1450483888 0.1857757108 -0.2412528820 -0.4203237310 -0.2089605983 0.2475425749 0.4475264545 0.2304107314 -0.2621351780 -0.4654544157 -0.1236960743 -0.2051826855 -0.1638218441 -0.2519265691 -0.2621351780 -0.4654544157 -0.1236960743 -0.2051826855 -0.1638218441 -0.2519265691 0.1535715518 0.1970498531 0.0042934553 0.0343577330 0.3393992387 0.0586074775 0.0750642715 0.1025630858 0.1313624751 0.1535368778 0.1978128387 0.0132405631 0.0694302007 0.3373574204 0.0588255397 0.0753031961 0.1025849599 0.1314243957 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096952 0.0000000002 1416955.9586852845 1431196.3184665970 7529649.6117006326 7526539.7350730170 0.0000000000 
0.0100000000 0.2090000000 1 -0.0182905889 -0.0148238435 -0.0254607067 -0.0244670555 -0.0386382481 -0.0381786844 -0.0450778703 -0.0703773063 0.0712602630 0.1246959211 0.0909984085 0.1592474883 3.1865048948 0.0034383051 0.0454803475 0.0001948260 -0.0712589741 -0.1247127658 -0.0909978334 -0.1592459658 3.1826051942 -0.0033861526 -0.0454806444 -0.0001949849 0.5634561897 0.2324162690 0.2563689648 0.3072050866 4.2855172531 0.2628531097 0.1313775609 0.0419102631 -0.3060853259 -0.1909282199 -0.2579378461 -0.3324993824 0.0000000000 -0.1218383661 -0.1232767587 -0.1808483767 -3.0966804124 -3.1005801130 -1.9976680541 0.0000000000 0.0218187136 0.0381827488 0.0278623720 0.0487591509 1.3789527073 0.0010447872 0.0139255033 0.0000596765 0.0613423086 0.0883654449 0.0659567979 0.1136588539 3.1855489597 0.0170872612 0.0329618575 0.0185445304 -0.2182404376 -0.2786852145 -0.0059795445 0.2182246487 0.2786781684 0.0059678952 -0.0619275609 -0.4240191204 -0.0833166821 -0.1061569347 -0.1458064973 -0.1857733043 0.0332946971 0.0000000000 0.0833222616 0.1061565325 0.1458116948 0.1857753138 -0.2430064459 -0.4282925619 -0.1880420266 0.2585139657 0.4766855545 0.2561178079 -0.4354985879 -0.4792998538 -0.1217058843 -0.2053932318 -0.1668305712 -0.2520125535 -0.4354985879 -0.4792998538 -0.1217058843 -0.2053932318 -0.1668305712 -0.2520125535 0.1543137433 0.1970577624 0.0042228287 0.0365836568 0.3391841281 0.0589157662 0.0750641534 0.1031025910 0.1313622685 0.1542164611 0.1980425510 0.0146816898 0.0668862947 0.3360804035 0.0591286588 0.0753069322 0.1031499480 0.1314038509 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096960 0.0000000002 1425884.4436222275 1440214.6680691973 7602850.5912947282 7638006.1852366989 0.0000000000 
0.0100000000 0.2753333333 1 -0.0168811341 -0.0165196743 -0.0253395768 -0.0247326118 -0.0378837138 -0.0383107732 -0.0452695130 -0.0703773067 0.0717383362 0.1255326518 0.0910051497 0.1592596868 3.2141616560 0.0033631918 0.0454837707 0.0001905374 -0.0717368197 -0.1255488964 -0.0910046804 -0.1592575430 3.2103470954 -0.0033122763 -0.0454840180 -0.0001907630 0.4574683559 0.2292159673 0.2493460614 0.3156039078 4.5699672889 0.2968582048 0.1325477955 0.0383972065 -0.2623369290 -0.1814242231 -0.2557694559 -0.3505482950 0.0000000000 -0.1104604170 -0.1188417192 -0.1938221160 -3.0690236512 -3.0728382118 -1.7132180183 0.0000000000 0.0219650585 0.0384388525 0.0278644513 0.0487627898 1.3909467150 0.0010219771 0.0139265425 0.0000583736 0.0567488599 0.0888909977 0.0660099070 0.1138155173 3.2338935210 0.0184512823 0.0329884146 0.0200580293 -0.2197055765 -0.2787053797 -0.0058532964 0.2196869998 0.2786996298 0.0058332891 -0.0714923499 -0.4234968127 -0.0839239653 -0.1061564189 -0.1468686190 -0.1857724136 0.0244238176 0.0000000000 0.0839293183 0.1061558406 0.1468746894 0.1857740853 -0.2460680961 -0.4348695236 -0.2194831563 0.2530155245 0.4623367908 0.2512047834 -0.4418928455 -0.5088363796 -0.1266972826 -0.2064428810 -0.1630114736 -0.2521660577 -0.4418928455 -0.5088363796 -0.1266972826 -0.2064428810 -0.1630114736 -0.2521660577 0.1553487740 0.1970724689 0.0041306362 0.0412775865 0.3386696919 0.0593451073 0.0750637251 0.1038539380 0.1313615190 0.1551618651 0.1983329146 0.0162959983 0.0724728681 0.3343409579 0.0595646247 0.0752878916 0.1039297534 0.1313695283 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096974 0.0000000002 1438286.8050761102 1452741.3972697514 7692975.4470297201 7775711.1691007996 0.0000000000 
0.0100000000 0.3416666667 1 -0.0170389059 -0.0136171553 -0.0250299894 -0.0251707808 -0.0357589245 -0.0400916273 -0.0482296133 -0.0703773070 0.0725647647 0.1269969182 0.0909889512 0.1592305384 6.3715494793 0.0032720427 0.0454762115 0.0001855670 -0.0725650083 -0.1269801942 -0.0909895316 -0.1592318374 6.3678382374 -0.0032226251 -0.0454759137 -0.0001854059 0.3638364317 0.2253050622 0.2494057785 0.2923482324 6.5480649192 0.3123485469 0.1400434554 0.0076689724 -0.2429336969 -0.2093200211 -0.2713161031 -0.3520582608 0.0000000000 -0.0951293729 -0.1187062027 -0.2045221525 0.0883641721 0.0846529302 3.1415926536 -3.1415926536 0.0222183684 0.0388821447 0.0278596526 0.0487543920 2.7581588866 0.0009942967 0.0139241441 0.0000567925 0.0553024106 0.0901488212 0.0658629480 0.1136723213 6.3090210254 0.0194138785 0.0329150131 0.0227810423 -0.2222284559 -0.2786509420 -0.0056714477 0.2222314402 0.2786580533 0.0056985887 -0.0195414876 0.0000000000 -0.0846014057 -0.1061594056 -0.1480481314 -0.1857802923 0.0771427084 0.4230788406 0.0845959339 0.1061597456 0.1480472315 0.1857782726 -0.2574381883 -0.4235442385 -0.2281192569 0.2720199793 0.4856969247 0.2599577360 -0.4473483180 -0.5062775591 -0.1364504645 -0.2077779425 -0.1605724448 -0.2524163985 -0.4473483180 -0.5062775591 -0.1364504645 -0.2077779425 -0.1605724448 -0.2524163985 0.1571403181 0.1970385296 0.0040187600 0.0446984596 0.3382621048 0.0598202950 0.0750661616 0.1046855165 0.1313657828 0.1573515352 0.1981332671 0.0156684905 0.0686916536 0.3349138137 0.0599603722 0.0753002780 0.1046386730 0.1313810249 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096941 0.0000000002 2852031.1584257791 2880694.3122658916 15260125.1642555483 14918183.6563735995 129.8435203698 
0.0100000000 0.4080000000 1 -0.0191437463 -0.0114433069 -0.0258549767 -0.0247442210 -0.0373425410 -0.0379814759 -0.0484267279 -0.0703773080 0.0734199551 0.1284930328 0.0909818068 0.1592178503 6.4074588183 0.0031657001 0.0454726342 0.0001795931 -0.0734199030 -0.1284767253 -0.0909823648 -0.1592194789 6.4038680057 -0.0031182319 -0.0454723456 -0.0001793418 0.3480543133 0.2207829739 0.2494945548 0.3037163624 6.9708254068 0.3466258424 0.1386708471 0.0253284088 -0.2287627338 -0.2202104091 -0.2688176629 -0.3388665607 0.0000000000 -0.0657022463 -0.1187458211 -0.2079295449 0.1242735111 0.1206826985 3.1415926536 -3.1415926536 0.0224801708 0.0393402990 0.0278574636 0.0487505613 2.7737343466 0.0009620325 0.0139230501 0.0000549496 0.0542477079 0.0910933548 0.0657572110 0.1134891529 6.3671823295 0.0202096665 0.0328620351 0.0264810903 -0.2248488403 -0.2786291686 -0.0054815665 0.2248482023 0.2786360058 0.0055194693 -0.0081489920 0.0000000000 -0.0855312692 -0.1061615807 -0.1496749562 -0.1857841454 0.0895980086 0.4218271976 0.0855259792 0.1061620129 0.1496752415 0.1857821902 -0.2713037341 -0.4100052957 -0.2155101207 0.2592536553 0.4912301723 0.2706845743 -0.3994256788 -0.5402533149 -0.1440706679 -0.2076861364 -0.1658769126 -0.2527958301 -0.3994256788 -0.5402533149 -0.1440706679 -0.2076861364 -0.1658769126 -0.2527958301 0.1589919266 0.1970230480 0.0038883580 0.0534115734 0.3370343428 0.0604778746 0.0750677312 0.1058362807 0.1313685295 0.1590704404 0.1978397433 0.0135906569 0.0685721983 0.3348966065 0.0606405476 0.0753631449 0.1058310175 0.1314137471 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096926 0.0000000002 2869097.7386745168 2896000.7260928899 15316880.1652707662 15156440.6264968365 64.8933362513 
0.0100000000 0.4743333333 1 -0.0149624613 -0.0154302472 -0.0253650147 -0.0259628364 -0.0377401204 -0.0367783401 -0.0486979740 -0.0703773096 0.0744509687 0.1302967343 0.0909686460 0.1591946216 6.4504603076 0.0030524731 0.0454660524 0.0001732463 -0.0744505557 -0.1302809360 -0.0909692017 -0.1591966383 6.4469975630 -0.0030073661 -0.0454657621 -0.0001728870 0.3316926199 0.2196131020 0.2496208248 0.2918086223 6.7387232612 0.3589527879 0.1319664747 0.0133229636 -0.2350849282 -0.2151107644 -0.2554440913 -0.3194680440 0.0000000000 -0.0981932881 -0.1188021316 -0.2118567714 0.1672750004 0.1638122559 3.1415926536 -3.1415926536 0.0227957988 0.0398926479 0.0278534330 0.0487435078 2.7923824887 0.0009277219 0.0139210356 0.0000529898 0.0549257614 0.0924810953 0.0656309692 0.1134121490 6.4051086478 0.0202634740 0.0327990544 0.0253753420 -0.2280079849 -0.2785888791 -0.0052789078 0.2280029411 0.2785956866 0.0053296814 0.0000000000 0.0000000000 -0.0866551029 -0.1061649701 -0.1516411238 -0.1857901729 0.1044458399 0.4197647353 0.0866500312 0.1061655089 0.1516428667 0.1857882082 -0.2862352770 -0.4088520354 -0.1959815080 0.2744280328 0.4758509723 0.2611129094 -0.4316914312 -0.5306277607 -0.1475891074 -0.2086666089 -0.1716626308 -0.2533361508 -0.4316914312 -0.5306277607 -0.1475891074 -0.2086666089 -0.1716626308 -0.2533361508 0.1612242179 0.1969945416 0.0037496873 0.0651400580 0.3350120951 0.0612726182 0.0750701646 0.1072270821 0.1313727880 0.1613954602 0.1977665218 0.0136179731 0.0764133129 0.3331268745 0.0614223457 0.0753439610 0.1072018632 0.1314107477 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096898 0.0000000001 2888386.7505025645 2915471.1583915344 15495550.9829979483 15163324.5902674515 78.4997236337 
0.0100000000 0.5406666667 1 -0.0180445952 -0.0120224576 -0.0263605855 -0.0262466643 -0.0369043084 -0.0362864157 -0.0490719648 -0.0703773121 0.0756700184 0.1324293929 0.0909472154 0.1591569293 6.5007701312 0.0029406935 0.0454553583 0.0001670039 -0.0756691851 -0.1324142107 -0.0909478063 -0.1591593824 6.4974335470 -0.0028984066 -0.0454550484 -0.0001665186 0.3151436533 0.2409271544 0.2497935826 0.2733003269 7.5072616756 0.3408235801 0.1245494017 0.0393454150 -0.2311548787 -0.2661789561 -0.2406603797 -0.3025216080 0.0000000000 -0.0886178534 -0.1188791677 -0.2400269526 0.2175848240 0.2142482398 3.1415926536 -3.1415926536 0.0231689915 0.0405457351 0.0278468749 0.0487320311 2.8141948573 0.0008939229 0.0139177579 0.0000510593 0.0559548183 0.0940469188 0.0654010353 0.1133848939 6.4763953732 0.0227231347 0.0326843946 0.0299713181 -0.2317433019 -0.2785230906 -0.0050780727 0.2317330558 0.2785303298 0.0051438507 0.0000000000 0.0000000000 -0.0879892899 -0.1061699432 -0.1539753316 -0.1857990466 0.1216931612 0.4165775785 0.0879844792 0.1061706018 0.1539787610 0.1857969457 -0.3016529904 -0.4040668551 -0.1763095943 0.2951147217 0.4528627678 0.2377094846 -0.4539257400 -0.4915257078 -0.1717907748 -0.2103705900 -0.1777348909 -0.2540654262 -0.4539257400 -0.4915257078 -0.1717907748 -0.2103705900 -0.1777348909 -0.2540654262 0.1638636385 0.1969481591 0.0036130870 0.0797750822 0.3318884378 0.0622161271 0.0750737226 0.1088782225 0.1313790146 0.1639645951 0.1978968556 0.0146151916 0.0939034347 0.3286862091 0.0624563463 0.0753035687 0.1088909412 0.1313654900 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096852 0.0000000001 2910949.1342125926 2938244.9397980883 15510355.0596302599 15493866.9236566797 47.4200971112 
0.0100000000 0.6070000000 1 -0.0149186910 -0.0146726798 -0.0272593083 -0.0275153832 -0.0361746931 -0.0348181787 -0.0495780539 -0.0703773157 0.0770913850 0.1349159630 0.0909153368 0.1591009806 6.5584947183 0.0028403918 0.0454394765 0.0001614403 -0.0770900539 -0.1349015461 -0.0909160198 -0.1591039144 6.5552708888 -0.0028014505 -0.0454391176 -0.0001608114 0.3225048572 0.2170819427 0.2500221959 0.2532374451 7.9096007498 0.3292244253 0.1194857398 0.0449488064 -0.3092151241 -0.2379913125 -0.2307584869 -0.2957246909 0.0000000000 -0.0796215082 -0.1189811180 -0.2432978541 0.2753094111 0.2720855816 3.1415926536 -3.1415926536 0.0236041159 0.0413072028 0.0278371287 0.0487149752 2.8392150478 0.0008637162 0.0139128868 0.0000493339 0.0575870233 0.0959738122 0.0651725984 0.1133953948 6.5535126726 0.0230771956 0.0325704801 0.0313000798 -0.2360984969 -0.2784250446 -0.0048966835 0.2360821910 0.2784334113 0.0049795574 0.0000000000 0.0000000000 -0.0895542960 -0.1061768304 -0.1567134255 -0.1858113761 0.1412711234 0.4119033753 0.0895497945 0.1061776190 0.1567187224 0.1858089443 -0.3250847813 -0.3712008206 -0.1711188887 0.3449749329 0.4357885068 0.2115090019 -0.5045745544 -0.4611099283 -0.1616160124 -0.2124536733 -0.1883803399 -0.2550043629 -0.5045745544 -0.4611099283 -0.1616160124 -0.2124536733 -0.1883803399 -0.2550043629 0.1669410735 0.1968792285 0.0034910094 0.0970932597 0.3273097474 0.0633228641 0.0750786380 0.1108150123 0.1313876165 0.1670695000 0.1981432643 0.0159138601 0.1139264465 0.3223752209 0.0636624119 0.0752572584 0.1108474004 0.1313092940 0.0500000000 0.0500000000 0.0875000000 0.0875000000 0.1531250000 0.1531250000 0.0000096784 0.0000000001 2937813.2647513668 2963384.3056950783 15693730.8866790943 15674169.7484352589 47.2477583142 
